,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
0,0.683,0.003186855317383608,0.003186855317383608,0.0008555830759779213,50,0,0,0,1000,1019282514
1,0.406,0.015013762614187076,0.015013762614187076,2.5422899833389107e-05,50,0,0,0,1000,1679872250
2,0.821,0.0018312910562765516,0.0018312910562765516,8.481252510518117e-05,50,0,0,0,1000,1837932928
3,0.013,0.10491637798683451,0.10491637798683451,0.032059635461366115,50,0,0,0,1000,1442006727
4,0.688,0.003965462996891489,0.003965462996891489,0.08534830884699068,50,0,0,0,1000,221822463
5,0.478,0.011090568727085248,0.011090568727085248,0.0032077938392403808,50,0,0,0,1000,509771608
6,0.589,0.009218827573674093,0.009218827573674093,0.017667101257871326,50,0,0,0,1000,1530295774
7,0.034,0.08734728560006899,0.08734728560006899,0.016738857575199183,50,0,0,0,1000,385390263
8,0.92,0.000589644422596014,0.000589644422596014,0.07277615900188696,50,0,0,0,1000,1825954996
9,0.584,0.012148149508585893,0.012148149508585893,0.021530628882075416,50,0,0,0,1000,744368653
10,0.12,0.048439778466146666,0.048439778466146666,0.00033116021429042107,50,0,0,0,1000,62625325
11,0.685,0.004321746203579835,0.004321746203579835,0.0006474607619863232,50,0,0,0,1000,326653715
12,0.204,0.03324884531191563,0.03324884531191563,0.000507953516143778,50,0,0,0,1000,283920944
13,0.427,0.012960980918026777,0.012960980918026777,0.03665876439688368,50,0,0,0,1000,668789807
14,0.404,0.013583063646526061,0.013583063646526061,7.252147246109212e-05,50,0,0,0,1000,2027587152
15,0.951,0.00011185113693767956,0.00011185113693767956,0.039286034997467884,50,0,0,0,1000,513262592
16,0.029,0.08811310606953171,0.08811310606953171,0.000752936792742549,50,0,0,0,1000,1975749735
17,0.664,0.00541113895328893,0.00541113895328893,0.0178380730274308,50,0,0,0,1000,1167280423
18,0.477,0.011480889974035735,0.011480889974035735,0.002009178398364027,50,0,0,0,1000,2007660583
19,0.83,0.001315939502429253,0.001315939502429253,0.018744668851806163,50,0,0,0,1000,1970764024
20,0.903,0.0003007572776871914,0.0003007572776871914,6.755786826570932e-05,50,0,0,0,1000,63871913
21,0.394,0.017199529745862918,0.017199529745862918,0.0013260969096584078,50,0,0,0,1000,954051228
22,0.187,0.036378153454794115,0.036378153454794115,0.01752154972683086,50,0,0,0,1000,1156649634
